page_number,line_up_name,first_name,last_name,party_code,answers
460,Sjællands Storkreds,Marcus,Danielsson,V,1 1 2 4 5 4 1 4 4 2 4 4 2 4 4 1 1 4 1 2 5 5 4 2 2
461,UNKNOWN,Michael,Schjelde,V,
462,Sjællands Storkreds,Morten,Dahlin,V,1 1 2 4 4 4 1 5 5 1 4 4 2 4 4 2 2 5 4 2 5 4 4 2 2
463,Sjællands Storkreds,Rasmus,Hylleberg,V,4 1 4 5 2 4 1 2 5 4 4 4 2 4 4 1 2 4 5 4 4 2 4 2 2
464,Sjællands Storkreds,Thorbern Alexander,Klingert,V,2 1 2 5 2 4 2 4 4 2 4 4 2 4 4 4 2 5 4 2 4 4 4 2 4
465,Sydjyllands Storkreds,Anni,Matthiesen,V,1 1 2 4 5 4 1 4 4 2 2 4 2 4 4 2 1 4 5 2 5 5 4 4 2
466,Sydjyllands Storkreds,Christoffer Aagaard,Melson,V,1 1 2 1 4 4 1 4 4 2 2 4 1 4 4 2 1 4 4 4 5 5 4 2 4
467,Sydjyllands Storkreds,Jesper,Bierbaum,V,1 1 2 4 4 4 1 5 4 1 4 4 2 4 4 1 1 5 5 2 5 5 4 2 2
468,Sydjyllands Storkreds,Klaus,Sandfeld,V,1 1 4 5 4 2 1 4 4 1 4 5 2 4 4 1 1 5 4 4 4 5 4 4 5
469,Sydjyllands Storkreds,Lasse,Hildingberg,V,1 1 4 4 4 2 1 5 2 1 5 4 2 4 4 1 1 5 5 4 5 5 5 1 5
470,Sydjyllands Storkreds,Niels Henning,Bladt,V,2 2 2 4 4 2 2 4 5 2 4 4 2 4 4 2 4 5 4 4 4 2 2 2 4
471,Sydjyllands Storkreds,Preben,Friis-Hauge,V,1 1 2 4 4 2 1 4 4 1 4 4 2 4 4 2 1 5 5 2 4 5 4 2 2
472,Sydjyllands Storkreds,Stephanie,Lose,V,1 1 2 4 4 4 1 5 4 1 4 4 2 4 4 1 1 5 5 2 5 5 4 2 2
473,Sydjyllands Storkreds,Thomas,Andresen,V,1 1 2 4 4 4 1 4 4 1 4 5 2 4 4 1 1 5 5 2 5 5 4 2 2
474,Sydjyllands Storkreds,Tilde Holch,Duedahl,V,1 1 2 4 4 4 2 5 4 2 4 4 2 4 4 2 1 5 5 4 5 5 4 2 2
475,Sydjyllands Storkreds,Tobias,Jørgensen,V,1 2 2 4 2 2 1 4 4 1 2 2 2 4 4 4 2 5 5 4 4 5 4 2 4
476,Sydjyllands Storkreds,Troels,Overgaard,V,4 5 5 5 4 1 4 5 4 5 5 5 4 5 5 5 4 5 5 4 4 5 4 4 5
477,Vestjyllands Storkreds,Erik,Flyvholm,V,1 1 2 4 5 4 1 4 1 1 2 4 2 4 4 2 1 5 5 2 5 5 2 2 2
478,Vestjyllands Storkreds,Frederik Houmann,Thuesen,V,2 1 2 4 4 4 2 4 4 2 4 4 2 4 2 4 2 4 4 2 4 5 4 2 4
479,UNKNOWN,Gert,Bækgaard,V,1 1 1 4 5 4 2 4 4 2 4 4 2 4 5 1 2 5 4 2 2 5 4 2 2
480,Vestjyllands Storkreds,Jarl,Matthiesen,V,2 2 2 2 4 4 2 2 4 4 4 4 2 4 4 4 2 4 2 4 2 4 4 4 2
481,Vestjyllands Storkreds,Morten,Høgh,V,1 1 2 5 4 4 1 4 5 1 4 4 2 4 4 2 1 5 5 2 5 2 4 2 2
482,Vestjyllands Storkreds,Ralf,Høgedal,V,2 1 1 2 4 2 1 4 4 2 4 5 2 4 5 2 1 4 4 4 4 4 5 4 5
483,UNKNOWN,Søren,Gade,V,1 1 2 4 4 2 1 5 4 1 4 4 2 4 4 5 1 5 5 2 5 5 4 2 2
484,Vestjyllands Storkreds,Thomas,Danielsen,V,1 1 2 4 5 4 4 5 5 2 4 2 2 5 5 2 1 5 4 5 4 5 4 2 2
485,Vestjyllands Storkreds,Trine,Jepsen,V,2 2 2 4 2 4 2 4 4 2 2 4 2 2 4 2 2 4 4 4 2 4 4 2 2
486,Østjyllands Storkreds,Emil M. D.,Christensen,V,2 1 2 4 2 4 2 4 4 2 4 4 4 5 2 4 2 4 2 4 4 2 4 1 4
487,Østjyllands Storkreds,Erik Veje,Rasmussen,V,1 1 1 4 2 4 1 4 4 4 4 4 2 4 4 1 1 5 4 2 4 4 2 4 2
488,Østjyllands Storkreds,Gert,Bjerregaard,V,1 1 1 5 2 4 1 5 4 1 4 4 2 4 4 1 1 5 5 1 5 5 4 1 2
489,Østjyllands Storkreds,Karina,Aamann,V,1 2 2 4 2 4 1 4 4 2 4 5 2 4 5 4 2 4 4 4 4 5 2 2 4
490,Østjyllands Storkreds,Louise,Høeg,V,1 1 2 4 4 4 1 5 4 1 4 4 2 4 4 1 1 5 5 2 4 5 4 2 2
491,Østjyllands Storkreds,Mathilde Hjort,Bressum,V,1 1 1 1 2 4 1 4 5 1 4 5 4 5 4 1 1 1 2 5 4 5 4 2 5
492,Østjyllands Storkreds,Sebastian,Støckler,V,1 1 1 4 1 2 1 4 5 2 4 5 4 4 2 4 2 5 4 4 4 2 4 2 2
493,Østjyllands Storkreds,Troels Lund,Poulsen,V,1 1 2 4 4 4 1 5 4 1 4 4 2 4 4 1 1 5 5 2 5 5 4 2 2
494,Bornholms Storkreds,Kirstine,van Sabben,M,4 2 1 4 5 2 2 1 4 2 4 5 2 2 4 4 2 4 4 4 4 5 4 4 4
495,Fyns Storkreds,Lars,Aagaard,M,4 1 2 2 4 2 1 1 4 2 2 5 4 4 4 1 1 2 4 4 4 4 2 5 4
496,Fyns Storkreds,Rosa,Eriksen,M,2 1 1 2 4 4 1 1 4 2 4 4 4 4 4 2 1 2 4 4 4 4 2 5 4
497,Københavns Storkreds,Jakob,Engel-Schmidt,M,2 1 2 2 2 2 2 2 4 2 4 5 4 5 4 2 2 4 2 4 4 5 2 5 4
498,Københavns Storkreds,Nanna W.,Gotfredsen,M,4 1 2 4 4 2 1 4 2 2 5 4 2 2 1 2 4 4 2 4 2 5 4
499,Københavns Storkreds,Ali,Qais,M,2 4 5 4 4 1 4 2 4 2 5 5 4 2 5 5 2 4 5 2 4 5 2 5 4
500,Københavns Storkreds,Ellen,Emilie,M,4 1 2 2 4 4 2 1 2 4 4 5 4 4 2 2 2 4 2 4 2 5 2 5 5
501,Københavns Storkreds,Lisbeth Dam,Larsen,M,2 1 2 2 4 4 2 1 4 4 4 5 4 4 1 1 4 5 4 4 1 5 4
502,Københavns Storkreds,Mads,Sebbelov,M,2 1 2 2 2 1 1 2 5 4 4 5 2 4 5 4 2 4 4 4 2 4 2 5 2
503,Københavns Omegns Storkreds,Monika,Rubin,M,2 1 2 2 4 1 1 4 2 4 5 4 4 5 1 2 1 2 5 4 4 2 5 4
504,Københavns Omegns Storkreds,Karan,Khosla,M,4 2 2 4 1 4 2 2 4 2 4 5 2 2 4 2 1 4 2 4 4 4 1 5 4
505,Københavns Omegns Storkreds,Özkan,Kocak,M,2 2 2 2 4 2 1 2 2 4 5 4 4 2 2 2 4 4 2 4 4
506,Københavns Omegns Storkreds,Dorthe,Beck-Nyling,M,2 1 1 2 4 4 1 1 4 2 4 5 4 4 4 2 1 2 4 4 4 4 2 5 4
507,Københavns Omegns Storkreds,Frederik Lau,Petersen,M,2 1 2 2 4 4 1 1 5 2 2 5 4 4 4 1 1 2 4 4 4 5 2 5 4
508,Københavns Omegns Storkreds,Betina,Asbæk,M,2 1 2 2 4 4 1 2 2 2 2 5 4 4 4 2 1 4 4 4 4 4 2 5 4
509,Nordjyllands Storkreds,Mohammad,Rona,M,2 2 2 2 4 4 1 2 5 2 2 5 4 4 4 2 2 2 5 4 4 5 2 5 2
510,Nordjyllands Storkreds,Line,Randa,M,4 2 2 1 4 4 2 1 4 2 2 4 2 2 4 2 2 4 2 4 4 2 5 2
511,Nordjyllands Storkreds,Nikolaj C.,Andersen,M,2 1 1 2 4 4 1 1 4 2 2 5 4 4 4 2 1 2 5 4 4 4 2 5 4
512,Nordjyllands Storkreds,Morten,Arvidsson,M,4 2 2 5 4 1 1 4 4 2 5 4 2 1 1 2 4 4 4 5 1 5 2
513,Nordsjællands Storkreds,Rasmus,Lund-Nielsen,M,4 1 2 4 2 2 1 2 4 2 2 5 2 4 4 2 1 2 4 4 4 4 2 4 4
514,Nordsjællands Storkreds,Charlotte,Haagendrup,M,4 1 4 4 4 2 1 2 4 4 1 5 2 4 4 2 1 2 4 4 4 4 2 5 4
515,Nordsjællands Storkreds,Andreas,Raben,M,4 1 2 2 4 4 4 1 4 2 2 5 5 2 4 2 2 2 4 4 4 4 2 5 4
516,Sjællands Storkreds,Lars Løkke,Rasmussen,M,2 1 1 2 4 4 1 1 4 4 4 5 4 4 4 2 2 2 2 5 4 4 1 5 4
517,Sjællands Storkreds,Charlotte,Bagge,M,2 1 1 2 5 5 1 1 4 1 4 4 4 5 4 4 1 2 4 4 4 4 2 5 4
518,Sjællands Storkreds,Kasper,Nygaard,M,2 2 2 4 4 4 1 1 2 2 2 5 4 4 4 2 2 2 4 4 4 4 2 5 2
519,Sjællands Storkreds,Frida Qvist,Kristensen,M,2 1 1 2 4 4 1 1 2 2 2 5 4 4 4 2 1 2 4 4 2 4 2 5 4
520,Sjællands Storkreds,Jan,Carlsen,M,1 2 2 4 2 4 1 2 4 2 2 5 2 4 4 2 2 5 2 4 5 4 1 5 1
521,Sjællands Storkreds,Mogens,Haugaard,M,4 1 2 2 4 2 2 2 4 4 2 4 2 4 4 2 2 4 2 2 2 4 2 0 4
522,Sjællands Storkreds,Mia Linda,Møller,M,2 1 2 2 4 4 2 1 4 4 2 5 4 4 5 4 2 1 2 2 2 5 1 5 4
523,Sydjyllands Storkreds,Henrik,Frandsen,M,4 1 2 2 2 4 1 1 2 2 4 5 2 4 4 2 2 4 4 4 2 5 2 5 4
524,Sydjyllands Storkreds,Frida,Bruun,M,2 1 2 1 4 2 2 2 4 4 4 4 2 2 4 4 2 4 2 4 4 4 2 5 4
525,Sydjyllands Storkreds,Gitte Bjerremand,Andersen,M,2 1 1 2 4 4 1 1 4 2 2 5 4 4 4 2 1 2 4 4 4 4 2 5 4
526,Sydjyllands Storkreds,Morten,Hell,M,2 1 2 2 4 2 1 1 4 4 2 5 4 4 4 2 1 2 4 4 4 4 2 5 4
527,Vestjyllands Storkreds,Morten E.G.,Brautsch,M,2 1 2 2 4 4 1 1 4 2 2 4 2 5 4 1 2 1 4 5 4 5 2 5 4
528,Vestjyllands Storkreds,Martin,Sanderhoff,M,2 1 1 2 5 4 1 1 4 2 2 5 4 4 4 2 1 2 4 5 4 4 2 5 4
529,Vestjyllands Storkreds,Jeppe,von Berg,M,2 2 2 2 4 4 2 2 4 2 2 5 4 4 2 1 2 2 2 4 4 4 2 5 4
530,Vestjyllands Storkreds,Michael,Nielsen,M,4 1 2 2 4 4 2 1 4 2 4 4 4 4 4 1 2 2 2 4 2 1 1 5 5
531,Østjyllands Storkreds,Christina,Egelund,M,2 1 2 2 4 4 1 1 4 2 2 5 4 4 4 4 1 2 4 5 4 5 1 5 4
532,Østjyllands Storkreds,Caroline,Stage,M,2 1 1 2 2 4 1 1 5 2 2 5 2 4 4 2 1 2 4 4 4 5 2 5 4
533,Østjyllands Storkreds,Peter,Have,M,4 1 1 1 4 2 4 1 2 2 4 4 4 4 4 2 1 4 4 4 2 1 1 5 4
534,Østjyllands Storkreds,Henrik Rejnholt,Andersen,V,1 1 2 4 4 4 1 5 5 1 4 4 2 4 4 1 1 5 5 2 5 5 4 2 2
535,Østjyllands Storkreds,Susan,Kronborg,M,2 2 4 2 2 4 2 2 2 2 4 5 4 4 4 2 4 2 4 2 4 2 2 5 4
